"dealer_name","location_name","address_line_1","address_line_2","city","state_province","postal_code","country","phone","website","email","dealer_type","active","notes"
"Club Champion","Club Champion Ashburn","44795 Dulles Overlook Drive, Suite 150","","Ashburn","VA","20147","United States","(571) 686-6921","https://clubchampion.com/locations/ashburn","","","true",""
"Club Champion","Club Champion Austin","3801 N. Capitol of Texas Hwy","","Austin","TX","78746","United States","(512) 953-5900","https://clubchampion.com/locations/austin","","","true",""
"Club Champion","Club Champion Basingstoke","Unit 7 Vickers Business Centre, Priestley Road","","Basingstoke","Hampshire","RG24 9NP","United Kingdom","01256 359865","https://clubchampiongolf.co.uk/locations/basingstoke","","","true",""
"Club Champion","Club Champion Bellevue","10622 NE 10th Street","","Bellevue","WA","98004","United States","(425) 223-5925","https://clubchampion.com/locations/bellevue","","","true",""
"Club Champion","Club Champion Bradenton","5275 University Pkwy, Suite 110","","Bradenton","FL","34201","United States","(941) 216-1443","https://clubchampion.com/locations/bradenton","","","true",""
"Club Champion","Club Champion Brisbane","39 Bunya Street","","Eagle Farm","QLD","4009","Australia","+61 7 2140 1520","https://clubchampion.com.au/locations/brisbane","","","true",""
"Club Champion","Club Champion Brookfield","95 N Moorland Road","","Brookfield","WI","53005","United States","(262) 505-6460","https://clubchampion.com/locations/brookfield","","","true",""
"Club Champion","Club Champion Charlotte","3920 Sharon Rd, Suite 170","","Charlotte","NC","28211","United States","(980) 585-2926","https://clubchampion.com/locations/charlotte","","","true",""
"Club Champion","Club Champion Cherry Hill","706 Haddonfield Road","","Cherry Hill","NJ","08002","United States","(856) 486-0150","https://clubchampion.com/locations/cherry-hill","","","true",""
"Club Champion","Club Champion Chicago","216 W Ohio St, Floor 2","","Chicago","IL","60654-5698","United States","(312) 846-1197","https://clubchampion.com/locations/chicago","","","true",""
"Club Champion","Club Champion Columbia","106 Percival Road","","Columbia","SC","29203","United States","(803) 866-1605","https://clubchampion.com/locations/columbia","","","true",""
"Club Champion","Club Champion Creve Coeur","11923 Olive Boulevard","","Creve Coeur","MO","63141","United States","(314) 801-7522","https://clubchampion.com/locations/creve-coeur","","","true",""
"Club Champion","Club Champion Dallas","5331 E. Mockingbird Lane","","Dallas","TX","75206","United States","(469) 322-0303","https://clubchampion.com/locations/dallas","","","true",""
"Club Champion","Club Champion Deerfield","37 Waukegan Rd, #37","","Deerfield","IL","60015-4901","United States","(847) 386-6820","https://clubchampion.com/locations/deerfield","","","true",""
"Club Champion","Club Champion Del Mar","2710 Via de la Valle, Suite B270","","Del Mar","CA","92014","United States","(858) 847-2400","https://clubchampion.com/locations/del-mar","","","true",""
"Club Champion","Club Champion Fairfax","9940 Fairfax Blvd","","Fairfax","VA","22030","United States","(571) 459-2218","https://clubchampion.com/locations/fairfax","","","true",""
"Club Champion","Club Champion Franklin","1910 Galleria Blvd, Suite 110","","Franklin","TN","37067","United States","(615) 778-1289","https://clubchampion.com/locations/franklin","","","true",""
"Club Champion","Club Champion Grand Rapids","2048 E. Beltline Ave NE","","Grand Rapids","MI","49525","United States","(616) 278-1308","https://clubchampion.com/locations/grand-rapids","","","true",""
"Club Champion","Club Champion Greenville","8000 Pelham Road","","Greenville","SC","29615","United States","(864) 239-8584","https://clubchampion.com/locations/greenville","","","true",""
"Club Champion","Club Champion Highlands Ranch","2670 E County Line Rd, Suite O","","Highlands Ranch","CO","80126","United States","(720) 638-4633","https://clubchampion.com/locations/highlands-ranch","","","true",""
"Club Champion","Club Champion Houston","10321 Katy Fwy, Suite C","","Houston","TX","77024-1120","United States","(713) 973-3939","https://clubchampion.com/locations/houston","","","true",""
"Club Champion","Club Champion Indianapolis","5025 E. 82nd St, Suite 1400","","Indianapolis","IN","46250","United States","(317) 288-7103","https://clubchampion.com/locations/indianapolis","","","true",""
"Club Champion","Club Champion Jacksonville","13529 Beach Blvd, Suite 202B","","Jacksonville","FL","32224","United States","(904) 683-0080","https://clubchampion.com/locations/jacksonville","","","true",""
"Club Champion","Club Champion Las Vegas","1009 South Rampart Blvd","","Las Vegas","NV","89145","United States","(702) 202-3889","https://clubchampion.com/locations/las-vegas","","","true",""
"Club Champion","Club Champion Livingston","277 Eisenhower Parkway, Suite 120","","Livingston","NJ","07039","United States","(862) 281-6528","https://clubchampion.com/locations/livingston","","","true",""
"Club Champion","Club Champion Manhattan","220 E 42nd Street","","New York","NY","10017","United States","(212) 419-3880","https://clubchampion.com/locations/manhattan","","","true",""
"Club Champion","Club Champion Melbourne Central","2-3/61-63 Camberwell Road","","Hawthorn East","VIC","3123","Australia","+61 3 7503 0033","https://clubchampion.com.au/locations/melbourne-central","","","true",""
